setup_time,setup_type,entry_time,exit_time,direction,size,gross_pnl,net_pnl,commission,slippage,mae,mfe,time_in_trade_min,exit_reason
2024-09-17 10:01:00-04:00,DOWNSIDE_ATTEMPT,2024-09-17 10:03:00-04:00,2024-09-17 10:48:00-04:00,LONG,1,82.5,78.85,2.4,1.25,0.0,91.25,45.0,TIME_STOP
2024-09-17 10:49:00-04:00,UPSIDE_ATTEMPT,2024-09-17 10:50:00-04:00,2024-09-17 11:35:00-04:00,SHORT,4,245.0,230.4,9.6,5.0,5.0,355.0,45.0,TIME_STOP
2024-09-17 11:38:00-04:00,DOWNSIDE_ATTEMPT,2024-09-17 11:39:00-04:00,2024-09-17 11:41:00-04:00,LONG,4,-50.0,-64.6,9.6,5.0,60.0,5.0,2.0,STOP_LOSS
2024-09-17 13:44:00-04:00,DOWNSIDE_ATTEMPT,2024-09-17 13:46:00-04:00,2024-09-17 14:31:00-04:00,LONG,3,142.5,131.55,7.199999999999999,3.75,15.0,255.0,45.0,TIME_STOP
2024-09-18 10:24:00-04:00,DOWNSIDE_ATTEMPT,2024-09-18 10:27:00-04:00,2024-09-18 10:34:00-04:00,LONG,3,-41.25,-52.2,7.199999999999999,3.75,52.5,67.5,7.0,STOP_LOSS
2024-09-18 13:07:00-04:00,UPSIDE_ATTEMPT,2024-09-18 13:20:00-04:00,2024-09-18 13:29:00-04:00,SHORT,2,-40.0,-47.3,4.8,2.5,42.5,35.0,9.0,STOP_LOSS
2024-09-18 15:09:00-04:00,DOWNSIDE_ATTEMPT,2024-09-18 15:13:00-04:00,2024-09-18 15:20:00-04:00,LONG,1,-75.0,-78.65,2.4,1.25,78.75,25.0,7.0,STOP_LOSS
2024-09-19 10:05:00-04:00,UPSIDE_ATTEMPT,2024-09-19 10:06:00-04:00,2024-09-19 10:18:00-04:00,SHORT,2,-47.5,-54.8,4.8,2.5,55.0,77.5,12.0,STOP_LOSS
2024-09-19 11:41:00-04:00,UPSIDE_ATTEMPT,2024-09-19 11:51:00-04:00,2024-09-19 12:03:00-04:00,SHORT,2,-50.0,-57.3,4.8,2.5,52.5,57.5,12.0,STOP_LOSS
2024-09-19 13:08:00-04:00,UPSIDE_ATTEMPT,2024-09-19 13:09:00-04:00,2024-09-19 13:17:00-04:00,SHORT,4,-50.0,-64.6,9.6,5.0,80.0,85.0,8.0,STOP_LOSS
2024-09-20 10:02:00-04:00,DOWNSIDE_ATTEMPT,2024-09-20 10:18:00-04:00,2024-09-20 10:52:00-04:00,LONG,4,-60.0,-74.6,9.6,5.0,100.0,115.0,34.0,STOP_LOSS
2024-09-20 13:11:00-04:00,UPSIDE_ATTEMPT,2024-09-20 13:27:00-04:00,2024-09-20 13:29:00-04:00,SHORT,4,-50.0,-64.6,9.6,5.0,50.0,10.0,2.0,STOP_LOSS
2024-09-20 14:33:00-04:00,DOWNSIDE_ATTEMPT,2024-09-20 14:36:00-04:00,2024-09-20 15:21:00-04:00,LONG,3,281.25,270.3,7.199999999999999,3.75,56.25,341.25,45.0,TIME_STOP
2024-09-23 10:18:00-04:00,UPSIDE_ATTEMPT,2024-09-23 10:20:00-04:00,2024-09-23 10:22:00-04:00,SHORT,4,-75.0,-89.6,9.6,5.0,80.0,5.0,2.0,STOP_LOSS
2024-09-23 11:26:00-04:00,UPSIDE_ATTEMPT,2024-09-23 11:27:00-04:00,2024-09-23 11:28:00-04:00,SHORT,2,-35.0,-42.3,4.8,2.5,40.0,5.0,1.0,STOP_LOSS
2024-09-23 13:05:00-04:00,DOWNSIDE_ATTEMPT,2024-09-23 13:07:00-04:00,2024-09-23 13:52:00-04:00,LONG,2,77.5,70.2,4.8,2.5,25.0,87.5,45.0,TIME_STOP
2024-09-23 13:53:00-04:00,UPSIDE_ATTEMPT,2024-09-23 14:04:00-04:00,2024-09-23 14:08:00-04:00,SHORT,4,-50.0,-64.6,9.6,5.0,60.0,50.0,4.0,STOP_LOSS
2024-09-23 15:22:00-04:00,UPSIDE_ATTEMPT,2024-09-23 15:23:00-04:00,2024-09-23 15:34:00-04:00,SHORT,4,-55.0,-69.6,9.6,5.0,80.0,20.0,11.0,STOP_LOSS
2024-09-24 10:53:00-04:00,UPSIDE_ATTEMPT,2024-09-24 11:05:00-04:00,2024-09-24 11:10:00-04:00,SHORT,4,-50.0,-64.6,9.6,5.0,70.0,0.0,5.0,STOP_LOSS
2024-09-24 13:55:00-04:00,DOWNSIDE_ATTEMPT,2024-09-24 13:56:00-04:00,2024-09-24 14:00:00-04:00,LONG,3,-41.25,-52.2,7.199999999999999,3.75,45.0,0.0,4.0,STOP_LOSS
2024-09-25 10:31:00-04:00,DOWNSIDE_ATTEMPT,2024-09-25 10:37:00-04:00,2024-09-25 10:45:00-04:00,LONG,2,-22.5,-29.8,4.8,2.5,27.5,15.0,8.0,STOP_LOSS
2024-09-25 13:04:00-04:00,DOWNSIDE_ATTEMPT,2024-09-25 13:06:00-04:00,2024-09-25 13:10:00-04:00,LONG,1,-17.5,-21.15,2.4,1.25,21.25,10.0,4.0,STOP_LOSS
2024-09-25 14:34:00-04:00,UPSIDE_ATTEMPT,2024-09-25 14:43:00-04:00,2024-09-25 15:28:00-04:00,SHORT,1,13.75,10.1,2.4,1.25,8.75,20.0,45.0,TIME_STOP
